title,price,city,model,mileage,fuel_type,transmission,registered,color,assembly,engine_capacity,post_date,price_category,mileage_category,post_day_of_week,vehicle_age,make,market_segment,color_standard,price_clean,mileage_clean,engine_capacity_clean,days_since_post,post_month,is_weekend,vri,usage_intensity,usage_category,price_per_cc,city_tier,estimated_original_price,depreciation_pct,annual_depreciation,tco_5yr
Honda N One Premium 2014,2650000.0,Lahore,2014,82000,Petrol,Automatic,Lahore,Blue,Imported,660,2024-05-04,Medium,Medium,Saturday,10,Honda,Kei,Blue,2650000.0,82000.0,660,5,5,1,21292.091885679398,7454.545454545455,Light,4015.151515151515,Tier-1,,,,4270357.142857143
Nissan Note 2020,5400000.0,Lahore,2020,59000,Hybrid,Automatic,Un-Registered,Silver,Imported,1200,2024-05-04,High,Medium,Saturday,4,Nissan,Sedan/SUV,Silver,5400000.0,59000.0,1200,5,5,1,98313.11380897315,11800.0,Moderate,4500.0,Tier-1,,,,6802500.0
Suzuki Vitara GLX 1.6 2017,4630000.0,Karachi,2017,67000,Petrol,Automatic,Karachi,Grey,Imported,1600,2024-05-04,Low,Medium,Saturday,7,Suzuki,Sedan/SUV,Grey,4630000.0,67000.0,1600,5,5,1,52081.16411143974,8375.0,Light,2893.75,Tier-1,,,,6448357.142857143
Toyota Yaris Cross 2021,7850000.0,Lahore,2021,41000,Hybrid,Automatic,Un-Registered,Beige,Imported,1500,2024-05-04,High,Low,Saturday,3,Toyota,Sedan/SUV,Other,7850000.0,41000.0,1500,5,5,1,184769.3258680184,10250.0,Moderate,5233.333333333333,Tier-1,,,,9497500.0
BMW X1 sDrive18i 2017,10700000.0,Islamabad,2017,37000,Petrol,Automatic,Islamabad,White,Imported,1500,2024-05-04,High,Low,Saturday,7,BMW,Sedan/SUV,White,10700000.0,37000.0,1500,5,5,1,127154.49363929752,4625.0,Light,7133.333333333333,Tier-1,,,,13125357.142857142
Honda City Aspire Prosmatec 1.5 i-VTEC 2016,3600000.0,Karachi,2016,45000,Petrol,Automatic,Karachi,Unlisted,Local,1500,2024-05-04,Medium,Low,Saturday,8,Honda,Sedan/SUV,Other,3600000.0,45000.0,1500,5,5,1,37332.795773382306,5000.0,Light,2400.0,Tier-1,,,,5315357.142857143
Toyota Corolla Altis Grande X CVT-i 1.8 Beige Interior 2022,6475000.0,Lahore,2022,59500,Petrol,Automatic,Lahore,Super White,Local,1800,2024-05-04,High,Medium,Saturday,2,Toyota,Executive,Super White,6475000.0,59500.0,1800,5,5,1,196323.69735725157,19833.333333333332,Moderate,3597.222222222222,Tier-1,,,,8477857.142857142
KIA Picanto 1.0 AT 2022,3150000.0,Lahore,2022,24000,Petrol,Automatic,Punjab,Mercury Blue,Local,998,2024-05-04,Medium,Low,Saturday,2,KIA,Hatchback,Other,3150000.0,24000.0,998,5,5,1,104106.23986121784,8000.0,Light,3156.312625250501,Tier-1,,,,4820357.142857143
Honda City Aspire Prosmatec 1.5 i-VTEC 2019,4250000.0,Karachi,2019,22000,Petrol,Automatic,Karachi,Unlisted,Local,1500,2024-05-04,High,Low,Saturday,5,Honda,Sedan/SUV,Other,4250000.0,22000.0,1500,5,5,1,70841.52838155687,3666.6666666666665,Light,2833.3333333333335,Tier-1,,,,6030357.142857143
Honda Civic 1.8 i-VTEC CVT 2019,5200000.0,Lahore,2019,58000,Petrol,Automatic,Sindh,Burgundy,Local,1800,2024-05-04,High,Medium,Saturday,5,Honda,Executive,Other,5200000.0,58000.0,1800,5,5,1,79016.19586487782,9666.666666666666,Light,2888.8888888888887,Tier-1,,,,7075357.142857143
